requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"1000","396","131","75092","60891","68698","62404","43727","11100",
"1000","397","131","75093","60891","68525","62436","43727","11200",
"1000","398","131","75095","60891","68358","62468","43727","11300",
"1000","399","131","75094","60891","68195","62499","43727","11400",
"1000","400","131","75085","60891","68036","62531","43727","11500",
"1000","401","131","75085","60891","67882","62562","43727","11600",
"1000","402","131","75092","60891","67733","62593","43727","11700",
"1000","403","131","75083","60891","67587","62624","43727","11800",
"1000","404","131","75084","60891","67446","62655","43727","11900",
"1000","405","131","75091","60891","67309","62686","43727","12000",
"1000","406","131","75097","60891","67176","62717","43727","12100",
"1000","407","131","75094","60891","67047","62747","43727","12200",
"1000","408","131","75100","60891","66921","62777","43727","12300",
"1000","409","131","75090","60891","66800","62807","43727","12400",
"1000","410","131","75097","60891","66682","62837","43727","12500",
"1000","411","131","75089","60891","66567","62867","43727","12600",
"1000","412","131","75097","60891","66456","62897","43727","12700",
"1000","413","131","75104","60891","66348","62926","43727","12800",
"1000","414","131","75108","60891","66244","62956","43727","12900",
"1000","415","131","75108","60891","66143","62985","43727","13000",
"1000","416","131","75097","60891","66045","63014","43727","13100",
"1000","417","131","75110","60891","65950","63043","43727","13200",
"1000","418","131","75102","60891","65859","63072","43727","13300",
"1000","419","131","75103","60891","65770","63101","43727","13400",
"1000","420","131","75119","60891","65684","63129","43727","13500",
"1000","421","131","75108","60891","65601","63158","43727","13600",
"1000","422","131","75109","60891","65520","63186","43727","13700",
"1000","423","131","75116","60891","65443","63214","43727","13800",
"1000","424","131","75107","60891","65368","63242","43727","13900",
"1000","425","131","75109","60891","65296","63270","43727","14000",
"1000","426","131","75116","60891","65226","63298","43727","14100",
"1000","427","131","75125","60891","65158","63326","43727","14200",
"1000","428","132","75561","60928","65095","63354","43857","14300",
"1000","429","132","75562","60928","65033","63383","43857","14400",
"1000","430","132","75564","60928","64974","63411","43857","14500",
"1000","431","132","75565","60928","64918","63439","43857","14600",
"1000","432","133","74142","59209","64799","63464","43973","14700",
"1000","433","133","74144","59209","64685","63489","43973","14800",
"1000","434","133","74131","59209","64573","63513","43973","14900",
"1000","435","134","75069","57969","64420","63540","44077","15000",
"1000","436","134","75070","57969","64270","63566","44077","15100",
"1000","437","134","75062","57969","64125","63593","44077","15200",
"1000","438","134","75062","57969","63984","63619","44077","15300",
"1000","439","134","75069","57969","63847","63645","44077","15400",
"1000","440","134","75061","57969","63714","63671","44077","15500",
"1000","441","134","75076","57969","63585","63697","44077","15600",
"1000","442","134","75068","57969","63460","63722","44077","15700",
"1000","443","134","75074","57969","63338","63748","44077","15800",
"1000","444","134","75070","57969","63220","63774","44077","15900",
"1000","445","134","75073","57969","63105","63799","44077","16000",
"1000","446","134","75080","57969","62994","63824","44077","16100",
"1000","447","134","75073","57969","62886","63849","44077","16200",
"1000","448","134","75088","57969","62782","63875","44077","16300",
"1000","449","134","75082","57969","62681","63899","44077","16400",
"1000","450","134","75090","57969","62583","63924","44077","16500",
"1000","451","134","75087","57969","62488","63949","44077","16600",
"1000","452","134","75082","57969","62396","63974","44077","16700",
"1000","453","134","75081","57969","62307","63998","44077","16800",
"1000","454","134","75089","57969","62221","64023","44077","16900",
"1000","455","134","75097","57969","62138","64047","44077","17000",
"1000","456","134","75098","57969","62057","64071","44077","17100",
"1000","457","135","80410","60699","62075","64107","44200","17200",
"1000","458","135","80413","60699","62094","64143","44200","17300",
"1000","459","135","80415","60699","62113","64178","44200","17400",
"1000","460","135","80416","60699","62133","64213","44200","17500",
"1000","461","135","80406","60699","62153","64248","44200","17600",
"1000","462","135","80417","60699","62175","64283","44200","17700",
"1000","463","135","80408","60699","62196","64318","44200","17800",
"1000","464","135","80406","60699","62219","64353","44200","17900",
"1000","465","135","80413","60699","62241","64387","44200","18000",
"1000","466","135","80420","60699","62265","64422","44200","18100",
"1000","467","135","80413","60699","62289","64456","44200","18200",
"1000","468","135","80424","60699","62313","64490","44200","18300",
"1000","469","135","80413","60699","62338","64524","44200","18400",
"1000","470","135","80421","60699","62363","64558","44200","18500",
"1000","471","135","80428","60699","62389","64592","44200","18600",
"1000","472","135","80421","60699","62415","64625","44200","18700",
"1000","473","135","80428","60699","62441","64659","44200","18800",
"1000","474","135","80419","60699","62468","64692","44200","18900",
"1000","475","135","80423","60699","62496","64725","44200","19000",
"1000","476","135","80422","60699","62524","64758","44200","19100",
"1000","477","135","80430","60699","62552","64791","44200","19200",
"1000","478","135","80436","60699","62580","64824","44200","19300",
"1000","479","135","80423","60699","62609","64856","44200","19400",
"1000","480","135","80439","60699","62638","64889","44200","19500",
"1000","481","135","80430","60699","62667","64921","44200","19600",
"1000","482","135","80430","60699","62697","64953","44200","19700",
"1000","483","136","78141","58108","62641","64980","44302","19800",
"1000","484","136","78144","58108","62587","65008","44302","19900",
"1000","485","136","78145","58108","62535","65035","44302","20000",
